timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727705951.7054057,6.132400791909353e-07,-1.3165519695774888e-09,-1.4274793684321274e-06,0.9999999999987931,-3.8584223424838624e-08,3.995493614318591e-10,1.4912154295628505e-14,2.5686477684105e-08,1.2009713753406933e-05,9.799969111493859
1727705951.7075813,6.126728151680118e-07,-1.3106789093420946e-09,-1.4274793679880382e-06,0.9999999999987934,-3.7438064266970685e-08,3.876711901342178e-10,1.2250718770555797e-14,2.5576788652330086e-08,1.199888070234387e-05,9.7999700289195
1727705951.7343261,6.121224024658752e-07,-1.304976288301206e-09,-1.4274793680990605e-06,0.9999999999987939,-3.63253939906534e-08,3.764502615284443e-10,9.805126349504728e-15,2.547060483387308e-08,1.1988364674342493e-05,9.799970919101069
1727705951.7651424,6.115883460302759e-07,-1.2994433113008435e-09,-1.4274793677659936e-06,0.9999999999987941,-3.5247004130732997e-08,3.6521251541107315e-10,9.512285375616149e-15,2.5367704470669743e-08,1.1978205333899172e-05,9.799971782806757
1727705951.8060338,6.109008724619671e-07,-1.2923222748654597e-09,-1.427479367543949e-06,0.9999999999987945,-3.3856823156433264e-08,3.50513385479481e-10,1.633717000010668e-14,2.5221497422875992e-08,1.1965056901065568e-05,9.799972894692957
1727705951.8681433,6.104031080970994e-07,-1.287166909806847e-09,-1.427479367155371e-06,0.9999999999987947,-3.285120946747777e-08,3.4031569360025393e-10,1.0870600826909468e-14,2.5126189378606575e-08,1.1955562996707561e-05,9.799973699738157
1727705952.1215007,6.099201210323276e-07,-1.2821665541867024e-09,-1.4274793669888375e-06,0.999999999998795,-3.1875779886180804e-08,3.2991956488788814e-10,1.415600012327912e-14,2.5028594179692013e-08,1.1946338721760576e-05,9.799974480893528
1727705952.1230922,6.092983776079758e-07,-1.2757310786630974e-09,-1.427479366822304e-06,0.9999999999987954,-3.062037891439017e-08,3.1692158066259544e-10,1.0417701254730159e-14,2.490909950319459e-08,1.1934488242412682e-05,9.799975486419669
1727705952.1521852,6.088482015655423e-07,-1.2710710376072882e-09,-1.4274793666002594e-06,0.9999999999987956,-2.971082966071143e-08,3.0760354914043893e-10,7.865217748094353e-15,2.4824315462129677e-08,1.1925888467866818e-05,9.7999762145114
1727705952.1837783,6.084113930384487e-07,-1.2665490143766232e-09,-1.4274793665447483e-06,0.9999999999987961,-2.8828219032443134e-08,2.9857449120646947e-10,7.178222663780796e-15,2.4736198134941753e-08,1.1917542634996137e-05,9.799976920966147
