timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_velocity_x,angular_velocity_y,angular_velocity_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1727706438.7095497,6.115883460302759e-07,-1.2994433113008435e-09,-1.4274793677659936e-06,0.9999999999987941,-3.5247004130732997e-08,3.6521251541107315e-10,9.512285375616149e-15,2.5367704470669743e-08,1.1978205333899172e-05,9.799971782806757
1727706438.7504213,6.109008724619671e-07,-1.2923222748654597e-09,-1.427479367543949e-06,0.9999999999987945,-3.3856823156433264e-08,3.50513385479481e-10,1.633717000010668e-14,2.5221497422875992e-08,1.1965056901065568e-05,9.799972894692957
1727706438.8165035,6.104031080970994e-07,-1.287166909806847e-09,-1.427479367155371e-06,0.9999999999987947,-3.285120946747777e-08,3.4031569360025393e-10,1.0870600826909468e-14,2.5126189378606575e-08,1.1955562996707561e-05,9.799973699738157
1727706439.060346,6.099201210323276e-07,-1.2821665541867024e-09,-1.4274793669888375e-06,0.999999999998795,-3.1875779886180804e-08,3.2991956488788814e-10,1.415600012327912e-14,2.5028594179692013e-08,1.1946338721760576e-05,9.799974480893528
1727706439.063682,6.092983776079758e-07,-1.2757310786630974e-09,-1.427479366822304e-06,0.9999999999987954,-3.062037891439017e-08,3.1692158066259544e-10,1.0417701254730159e-14,2.490909950319459e-08,1.1934488242412682e-05,9.799975486419669
1727706439.08787,6.088482015655423e-07,-1.2710710376072882e-09,-1.4274793666002594e-06,0.9999999999987956,-2.971082966071143e-08,3.0760354914043893e-10,7.865217748094353e-15,2.4824315462129677e-08,1.1925888467866818e-05,9.7999762145114
1727706439.119196,6.084113930384487e-07,-1.2665490143766232e-09,-1.4274793665447483e-06,0.9999999999987961,-2.8828219032443134e-08,2.9857449120646947e-10,7.178222663780796e-15,2.4736198134941753e-08,1.1917542634996137e-05,9.799976920966147
1727706439.2204487,6.078490984301971e-07,-1.2607279041281985e-09,-1.4274793662116814e-06,0.9999999999987964,-2.7692005849192602e-08,2.8653400082636985e-10,1.452610432569629e-14,2.4616666760226457e-08,1.1906815440097557e-05,9.799977830371546
1727706439.248579,6.074419704361026e-07,-1.2565091750644932e-09,-1.4274793662671925e-06,0.9999999999987967,-2.686968133642758e-08,2.784397453156907e-10,7.439191075474223e-15,2.454499744144461e-08,1.1899050845944045e-05,9.799978488829849
1727706439.4606361,6.070469371029542e-07,-1.2524153681621428e-09,-1.4274793659341256e-06,0.9999999999987967,-2.6071252640629917e-08,2.7009955217233137e-10,9.989296655759312e-15,2.4464429905640078e-08,1.1891509829542592e-05,9.799979127728191
1727706439.4621282,6.066636374856871e-07,-1.2484450219924282e-09,-1.4274793658786145e-06,0.9999999999987972,-2.529686810623322e-08,2.619250596638496e-10,1.1234313115478728e-14,2.438619788516681e-08,1.1884189594414106e-05,9.799979747657366
1727706439.4795341,6.061702301860525e-07,-1.2433321350449972e-09,-1.4274793656010587e-06,0.9999999999987974,-2.429913762159202e-08,2.5172011676364526e-10,8.442798266411503e-15,2.4291039584006246e-08,1.1874754973822152e-05,9.799980545693893
